lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,643,0,1,1,1,0,0,0,1,0,0
278,345,39,0,1,1,0,0,12,2,7,0
426,519,53,1,1,1,0,0,19,3,1,0
471,591,62,0,0,1,0,0,29,4,17,0
71,164,66,0,1,1,0,0,46,5,8,0
121,217,38,0,1,1,0,0,62,6,9,0
278,345,39,0,0,1,0,0,64,7,19,0
55,176,40,0,0,1,0,0,67,8,12,0
82,247,30,1,1,1,0,0,71,9,4,0
426,535,80,1,1,1,1,0,14,10,3,0
426,576,39,1,1,1,1,1,14,11,3,1
426,646,41,1,1,1,1,2,14,12,3,0
270,421,85,0,0,1,1,0,23,13,18,0
270,467,39,0,0,1,1,1,23,14,18,0
270,532,46,0,0,1,1,2,23,15,18,0
261,410,100,0,1,1,1,0,33,16,6,0
261,454,56,0,1,1,1,1,33,17,6,0
261,466,44,0,1,1,1,2,33,18,6,0
393,551,73,0,0,1,1,0,44,19,13,0
393,588,36,1,1,1,1,1,44,20,13,1
393,587,37,0,0,1,1,2,44,21,13,0
393,551,73,0,0,1,1,0,49,22,16,0
393,588,36,1,1,1,1,1,49,23,16,1
393,587,37,0,0,1,1,2,49,24,16,0
471,592,86,0,0,1,1,0,50,25,11,0
471,641,37,0,0,1,1,1,50,26,11,0
471,701,49,1,1,1,1,2,50,27,11,1
496,626,88,0,0,1,1,0,55,28,14,0
496,675,39,1,1,1,1,1,55,29,14,1
496,737,49,0,0,1,1,2,55,30,14,0
321,463,98,1,1,1,1,0,65,31,2,0
321,483,78,1,1,1,1,1,65,32,2,0
321,595,38,1,1,1,1,2,65,33,2,1
0,66,77,0,0,1,1,0,66,34,20,0
0,103,40,0,0,1,1,1,66,35,20,0
0,178,37,0,0,1,1,2,66,36,20,0
419,514,147,1,1,1,1,0,70,37,5,0
419,612,49,1,1,1,1,1,70,38,5,1
419,617,116,1,1,1,1,2,70,39,5,0
239,293,128,0,1,1,1,0,78,40,10,0
239,358,63,1,1,1,1,1,78,41,10,1
239,356,65,0,1,1,1,2,78,42,10,0
457,575,86,0,0,1,1,0,80,43,15,0
457,622,39,0,0,1,1,1,80,44,15,0
457,686,47,1,1,1,1,2,80,45,15,1
0,643,0,1,1,1,0,0,0,46,0,0
