lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,554,0,1,1,1,0,0,0,1,0,0
217,404,50,1,1,1,0,0,3,2,3,0
493,593,24,1,1,1,0,0,5,3,1,0
285,387,41,0,0,1,0,0,9,4,14,0
0,85,42,1,1,1,0,0,11,5,17,0
0,73,17,1,1,1,0,0,16,6,18,0
0,86,46,0,1,1,0,0,17,7,7,0
0,84,68,0,0,1,1,0,1,8,15,0
0,119,33,0,0,1,1,1,1,9,15,0
0,179,35,1,1,1,1,2,1,10,15,1
58,189,180,0,0,1,1,0,2,11,12,0
58,332,37,0,0,1,1,1,2,12,12,0
58,288,143,0,0,1,1,2,2,13,12,0
334,459,120,0,1,1,1,0,4,14,6,0
334,507,72,0,1,1,1,1,4,15,6,0
334,547,32,1,1,1,1,2,4,16,6,1
0,61,64,1,1,1,1,0,6,17,19,0
0,93,32,1,1,1,1,1,6,18,19,0
0,155,32,1,1,1,1,2,6,19,19,1
66,190,71,1,1,1,1,0,7,20,5,0
66,226,35,1,1,1,1,1,7,21,5,0
66,287,36,1,1,1,1,2,7,22,5,0
206,270,66,0,1,1,1,0,8,23,10,0
206,303,33,0,1,1,1,1,8,24,10,0
206,303,33,0,1,1,1,2,8,25,10,0
345,446,93,1,1,1,1,0,10,26,20,0
345,493,46,1,1,1,1,1,10,27,20,1
345,570,31,1,1,1,1,2,10,28,20,0
67,217,74,1,1,1,1,0,12,29,4,0
67,256,35,1,1,1,1,1,12,30,4,0
67,314,39,1,1,1,1,2,12,31,4,1
138,255,82,0,1,1,1,0,13,32,8,0
138,296,41,0,1,1,1,1,13,33,8,0
138,342,57,1,1,1,1,2,13,34,8,1
289,410,85,0,0,1,1,0,14,35,13,0
289,439,56,0,0,1,1,1,14,36,13,0
289,450,45,1,1,1,1,2,14,37,13,1
347,531,84,0,0,1,1,0,15,38,11,0
347,566,49,0,0,1,1,1,15,39,11,0
347,642,35,0,0,1,1,2,15,40,11,0
67,217,74,1,1,1,1,0,18,41,2,0
67,256,35,1,1,1,1,1,18,42,2,0
67,314,39,1,1,1,1,2,18,43,2,0
197,297,83,0,1,1,1,0,19,44,9,0
197,325,55,0,1,1,1,1,19,45,9,0
197,398,44,1,1,1,1,2,19,46,9,1
289,410,85,1,1,1,1,0,20,47,16,0
289,439,56,1,1,1,1,1,20,48,16,0
289,450,45,1,1,1,1,2,20,49,16,1
0,554,0,1,1,1,0,0,0,50,0,0
