lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,718,0,1,1,1,0,0,0,1,0,0
3,106,77,0,1,1,0,0,1,2,6,0
267,401,78,0,0,1,0,0,22,3,26,0
294,406,70,1,1,1,0,0,35,4,17,0
342,510,56,0,1,1,0,0,40,5,24,0
3,106,77,0,1,1,0,0,41,6,19,0
80,201,51,1,1,1,0,0,47,7,16,0
481,579,74,1,1,1,0,0,74,8,4,0
267,401,78,0,0,1,0,0,80,9,30,0
22,120,127,0,0,1,1,0,2,10,12,0
22,170,77,1,1,1,1,1,2,11,12,1
22,197,50,0,0,1,1,2,2,12,12,0
417,587,117,0,0,1,1,0,4,13,11,0
417,657,47,1,1,1,1,1,4,14,11,1
417,734,50,0,0,1,1,2,4,15,11,0
90,227,85,0,0,1,1,0,8,16,20,0
90,272,40,0,0,1,1,1,8,17,20,0
90,347,45,1,1,1,1,2,8,18,20,1
0,67,123,0,0,1,1,0,16,19,15,0
0,110,80,0,0,1,1,1,16,20,15,0
0,207,63,0,0,1,1,2,16,21,15,0
253,400,116,0,0,1,1,0,18,22,27,0
253,475,41,1,1,1,1,1,18,23,27,1
253,421,95,0,0,1,1,2,18,24,27,0
364,513,98,0,1,1,1,0,19,25,18,0
364,568,43,0,1,1,1,1,19,26,18,0
364,636,55,0,1,1,1,2,19,27,18,0
450,633,107,1,1,1,1,0,20,28,22,0
450,697,43,1,1,1,1,1,20,29,22,1
450,736,84,1,1,1,1,2,20,30,22,0
417,587,117,0,1,1,1,0,24,31,8,0
417,657,47,1,1,1,1,1,24,32,8,1
417,734,50,0,1,1,1,2,24,33,8,0
347,524,103,0,0,1,1,0,30,34,14,0
347,585,42,0,0,1,1,1,30,35,14,0
347,666,41,1,1,1,1,2,30,36,14,1
70,181,155,0,1,1,1,0,42,37,23,0
70,247,89,0,1,1,1,1,42,38,23,0
70,370,46,1,1,1,1,2,42,39,23,1
300,385,133,1,1,1,1,0,44,40,5,0
300,435,83,1,1,1,1,1,44,41,5,0
300,548,50,1,1,1,1,2,44,42,5,0
370,500,81,0,0,1,1,0,45,43,13,0
370,541,40,0,0,1,1,1,45,44,13,0
370,540,41,1,1,1,1,2,45,45,13,1
140,273,138,1,1,1,1,0,48,46,21,0
140,370,41,1,1,1,1,1,48,47,21,0
140,374,117,1,1,1,1,2,48,48,21,1
311,434,106,1,1,1,1,0,50,49,1,0
311,470,70,1,1,1,1,1,50,50,1,1
311,484,56,1,1,1,1,2,50,51,1,0
0,109,82,0,1,1,1,0,51,52,9,0
0,149,42,0,1,1,1,1,51,53,9,0
0,231,40,1,1,1,1,2,51,54,9,1
0,106,134,0,0,1,1,0,61,55,29,0
0,177,63,0,0,1,1,1,61,56,29,0
0,229,91,1,1,1,1,2,61,57,29,1
213,345,93,1,1,1,1,0,63,58,28,0
213,396,42,1,1,1,1,1,63,59,28,0
213,467,51,1,1,1,1,2,63,60,28,0
357,449,91,1,1,1,1,0,65,61,3,0
357,490,50,1,1,1,1,1,65,62,3,1
357,499,41,1,1,1,1,2,65,63,3,0
0,154,120,1,1,1,1,0,67,64,2,0
0,201,73,1,1,1,1,1,67,65,2,1
0,307,47,1,1,1,1,2,67,66,2,0
127,253,135,0,1,1,1,0,68,67,25,0
127,321,67,0,1,1,1,1,68,68,25,0
127,420,48,1,1,1,1,2,68,69,25,1
455,518,110,0,1,1,1,0,70,70,10,0
455,582,46,0,1,1,1,1,70,71,10,0
455,584,44,1,1,1,1,2,70,72,10,1
104,222,162,0,1,1,1,0,78,73,7,0
104,338,46,1,1,1,1,1,78,74,7,1
104,368,96,0,1,1,1,2,78,75,7,0
0,718,0,1,1,1,0,0,0,76,0,0
