lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,672,0,1,1,1,0,0,0,1,0,0
0,103,62,1,1,1,0,0,1,2,5,0
95,183,43,1,1,1,0,0,7,3,1,0
256,346,72,1,1,1,0,0,18,4,2,0
513,618,24,0,0,1,0,0,20,5,12,0
163,248,55,0,0,1,0,0,23,6,15,0
0,109,49,0,1,1,0,0,26,7,23,0
0,62,73,0,0,1,0,0,31,8,13,0
248,354,37,0,1,1,0,0,33,9,6,0
0,35,32,0,1,1,0,0,36,10,10,0
94,276,69,0,0,1,0,0,38,11,26,0
256,346,72,1,1,1,0,0,39,12,19,0
31,160,63,1,1,1,0,0,42,13,18,0
331,455,50,1,1,1,0,0,45,14,16,0
1,55,36,1,1,1,0,0,46,15,20,0
592,672,37,0,1,1,0,0,50,16,9,0
0,62,93,1,1,1,1,0,6,17,3,0
0,114,41,1,1,1,1,1,6,18,3,0
0,178,52,1,1,1,1,2,6,19,3,1
375,494,85,1,1,1,1,0,10,20,22,0
375,537,42,1,1,1,1,1,10,21,22,1
375,611,43,1,1,1,1,2,10,22,22,0
27,175,78,1,1,1,1,0,12,23,28,0
27,214,39,1,1,1,1,1,12,24,28,0
27,214,39,1,1,1,1,2,12,25,28,0
206,322,87,0,1,1,1,0,14,26,8,0
206,370,39,0,1,1,1,1,14,27,8,0
206,361,48,1,1,1,1,2,14,28,8,1
384,479,91,0,0,1,1,0,15,29,27,0
384,518,52,1,1,1,1,1,15,30,27,1
384,531,39,0,0,1,1,2,15,31,27,0
0,133,89,1,1,1,1,0,17,32,4,0
0,174,48,1,1,1,1,1,17,33,4,0
0,256,41,1,1,1,1,2,17,34,4,1
211,318,83,1,1,1,1,0,24,35,30,0
211,360,41,1,1,1,1,1,24,36,30,0
211,434,42,1,1,1,1,2,24,37,30,1
321,416,102,0,0,1,1,0,25,38,14,0
321,475,43,0,0,1,1,1,25,39,14,0
321,553,40,0,0,1,1,2,25,40,14,0
302,403,103,1,1,1,1,0,28,41,21,0
302,464,42,1,1,1,1,1,28,42,21,1
302,464,42,1,1,1,1,2,28,43,21,0
367,485,88,0,0,1,1,0,29,44,11,0
367,532,41,1,1,1,1,1,29,45,11,1
367,601,47,0,0,1,1,2,29,46,11,0
374,451,80,0,1,1,1,0,40,47,24,0
374,491,40,0,1,1,1,1,40,48,24,0
374,491,40,1,1,1,1,2,40,49,24,1
102,249,94,0,1,1,1,0,43,50,7,0
102,296,47,0,1,1,1,1,43,51,7,0
102,371,47,0,1,1,1,2,43,52,7,0
220,357,75,1,1,1,1,0,44,53,29,0
220,394,38,1,1,1,1,1,44,54,29,0
220,470,37,1,1,1,1,2,44,55,29,1
220,357,75,0,1,1,1,0,47,56,25,0
220,394,38,0,1,1,1,1,47,57,25,0
220,470,37,1,1,1,1,2,47,58,25,1
367,485,88,1,1,1,1,0,48,59,17,0
367,532,41,1,1,1,1,1,48,60,17,0
367,601,47,1,1,1,1,2,48,61,17,1
0,672,0,1,1,1,0,0,0,62,0,0
