lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,651,0,1,1,1,0,0,0,1,0,0
197,299,68,1,1,1,0,0,4,2,28,0
208,357,20,0,1,1,0,0,8,3,6,0
83,211,38,1,1,1,0,0,12,4,5,0
149,317,59,0,1,1,0,0,13,5,23,0
0,86,62,0,1,1,0,0,16,6,19,0
135,244,41,1,1,1,0,0,18,7,22,0
197,299,68,0,1,1,0,0,19,8,25,0
303,463,58,1,1,1,0,0,20,9,17,0
128,280,54,0,1,1,0,0,23,10,10,0
194,295,56,0,1,1,0,0,24,11,8,0
274,391,69,0,0,1,0,0,25,12,11,0
47,204,69,0,1,1,0,0,27,13,9,0
245,322,41,0,0,1,0,0,33,14,27,0
277,454,46,1,1,1,0,0,34,15,16,0
229,345,13,0,0,1,0,0,39,16,12,0
226,354,48,0,0,1,0,0,43,17,14,0
0,105,38,0,0,1,0,0,46,18,15,0
226,354,48,1,1,1,0,0,49,19,3,0
139,268,81,0,0,1,1,0,7,20,29,0
139,306,43,0,0,1,1,1,7,21,29,0
139,384,38,1,1,1,1,2,7,22,29,1
317,401,76,0,0,1,1,0,9,23,26,0
317,439,38,0,0,1,1,1,9,24,26,0
317,512,38,1,1,1,1,2,9,25,26,1
404,572,117,1,1,1,1,0,15,26,4,0
404,616,73,1,1,1,1,1,15,27,4,0
404,700,62,1,1,1,1,2,15,28,4,1
158,261,146,1,1,1,1,0,28,29,21,0
158,336,71,1,1,1,1,1,28,30,21,0
158,423,57,1,1,1,1,2,28,31,21,1
464,581,105,0,1,1,1,0,30,32,24,0
464,637,49,0,1,1,1,1,30,33,24,0
464,648,38,0,1,1,1,2,30,34,24,0
0,59,73,0,0,1,1,0,31,35,20,0
0,96,36,1,1,1,1,1,31,36,20,1
0,168,37,0,0,1,1,2,31,37,20,0
148,206,80,1,1,1,1,0,32,38,1,0
148,247,39,1,1,1,1,1,32,39,1,0
148,245,41,1,1,1,1,2,32,40,1,1
337,461,88,1,1,1,1,0,40,41,2,0
337,505,44,1,1,1,1,1,40,42,2,0
337,578,44,1,1,1,1,2,40,43,2,1
0,80,74,0,0,1,1,0,41,44,30,0
0,117,37,1,1,1,1,1,41,45,30,1
0,117,37,0,0,1,1,2,41,46,30,0
426,578,94,0,1,1,1,0,45,47,7,0
426,634,38,1,1,1,1,1,45,48,7,1
426,707,38,0,1,1,1,2,45,49,7,0
0,164,75,0,1,1,1,0,47,50,18,0
0,201,38,0,1,1,1,1,47,51,18,0
0,275,37,0,1,1,1,2,47,52,18,0
148,206,80,0,0,1,1,0,48,53,13,0
148,247,39,0,0,1,1,1,48,54,13,0
148,245,41,0,0,1,1,2,48,55,13,0
0,651,0,1,1,1,0,0,0,56,0,0
