lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,643,0,1,1,1,0,0,0,1,0,0
183,286,11,0,1,1,0,0,1,2,24,0
249,401,34,0,0,1,0,0,7,3,28,0
278,345,39,0,1,1,0,0,12,4,7,0
176,316,58,0,0,1,0,0,16,5,40,0
284,430,64,0,0,1,0,0,18,6,36,0
426,519,53,1,1,1,0,0,19,7,1,0
496,595,63,0,0,1,0,0,25,8,26,0
176,316,58,0,1,1,0,0,27,9,35,0
374,455,61,1,1,1,0,0,28,10,22,0
471,591,62,0,0,1,0,0,29,11,17,0
188,242,44,0,0,1,0,0,31,12,39,0
275,434,66,0,1,1,0,0,38,13,34,0
71,164,66,0,1,1,0,0,46,14,8,0
121,217,38,0,1,1,0,0,62,15,9,0
278,345,39,0,0,1,0,0,64,16,19,0
55,176,40,0,0,1,0,0,67,17,12,0
82,247,30,1,1,1,0,0,71,18,4,0
183,286,11,1,1,1,0,0,72,19,21,0
349,446,69,0,0,1,0,0,73,20,27,0
158,255,109,0,0,1,1,0,6,21,30,0
158,279,85,0,0,1,1,1,6,22,30,0
158,322,42,1,1,1,1,2,6,23,30,1
281,439,83,1,1,1,1,0,13,24,32,0
281,479,43,1,1,1,1,1,13,25,32,1
281,554,40,1,1,1,1,2,13,26,32,0
426,535,80,1,1,1,1,0,14,27,3,0
426,576,39,1,1,1,1,1,14,28,3,1
426,646,41,1,1,1,1,2,14,29,3,0
485,592,80,1,1,1,1,0,15,30,33,0
485,634,38,1,1,1,1,1,15,31,33,0
485,702,42,1,1,1,1,2,15,32,33,0
270,421,85,0,0,1,1,0,23,33,18,0
270,467,39,0,0,1,1,1,23,34,18,0
270,532,46,0,0,1,1,2,23,35,18,0
261,410,100,0,1,1,1,0,33,36,6,0
261,454,56,0,1,1,1,1,33,37,6,0
261,466,44,0,1,1,1,2,33,38,6,0
493,630,96,0,1,1,1,0,35,39,23,0
493,688,38,1,1,1,1,1,35,40,23,1
493,740,58,0,1,1,1,2,35,41,23,0
50,200,99,0,0,1,1,0,42,42,37,0
50,256,43,0,0,1,1,1,42,43,37,0
50,333,38,0,0,1,1,2,42,44,37,0
393,551,73,0,0,1,1,0,44,45,13,0
393,588,36,1,1,1,1,1,44,46,13,1
393,587,37,0,0,1,1,2,44,47,13,0
393,551,73,0,0,1,1,0,49,48,16,0
393,588,36,1,1,1,1,1,49,49,16,1
393,587,37,0,0,1,1,2,49,50,16,0
471,592,86,0,0,1,1,0,50,51,11,0
471,641,37,0,0,1,1,1,50,52,11,0
471,701,49,1,1,1,1,2,50,53,11,1
496,626,88,0,0,1,1,0,55,54,14,0
496,675,39,1,1,1,1,1,55,55,14,1
496,737,49,0,0,1,1,2,55,56,14,0
287,367,77,0,0,1,1,0,57,57,38,0
287,407,37,0,0,1,1,1,57,58,38,0
287,476,40,1,1,1,1,2,57,59,38,1
0,35,108,0,1,1,1,0,61,60,25,0
0,89,54,0,1,1,1,1,61,61,25,0
0,161,54,0,1,1,1,2,61,62,25,0
321,463,98,1,1,1,1,0,65,63,2,0
321,483,78,1,1,1,1,1,65,64,2,0
321,595,38,1,1,1,1,2,65,65,2,1
0,66,77,0,0,1,1,0,66,66,20,0
0,103,40,0,0,1,1,1,66,67,20,0
0,178,37,0,0,1,1,2,66,68,20,0
419,514,147,1,1,1,1,0,70,69,5,0
419,612,49,1,1,1,1,1,70,70,5,1
419,617,116,1,1,1,1,2,70,71,5,0
454,634,98,1,1,1,1,0,75,72,31,0
454,683,49,1,1,1,1,1,75,73,31,0
454,755,49,1,1,1,1,2,75,74,31,0
239,293,128,0,1,1,1,0,78,75,10,0
239,358,63,1,1,1,1,1,78,76,10,1
239,356,65,0,1,1,1,2,78,77,10,0
406,516,87,0,0,1,1,0,79,78,29,0
406,560,43,0,0,1,1,1,79,79,29,0
406,631,44,0,0,1,1,2,79,80,29,0
457,575,86,0,0,1,1,0,80,81,15,0
457,622,39,0,0,1,1,1,80,82,15,0
457,686,47,1,1,1,1,2,80,83,15,1
0,643,0,1,1,1,0,0,0,84,0,0
