lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,672,0,1,1,1,0,0,0,1,0,0
0,103,62,1,1,1,0,0,1,2,5,0
95,183,43,1,1,1,0,0,7,3,1,0
0,112,55,0,0,1,0,0,11,4,37,0
0,93,13,1,1,1,0,0,16,5,32,0
256,346,72,1,1,1,0,0,18,6,2,0
513,618,24,0,0,1,0,0,20,7,12,0
76,184,45,0,1,1,0,0,22,8,34,0
163,248,55,0,0,1,0,0,23,9,15,0
0,109,49,0,1,1,0,0,26,10,23,0
0,62,73,0,0,1,0,0,31,11,13,0
248,354,37,0,1,1,0,0,33,12,6,0
296,468,53,1,1,1,0,0,34,13,33,0
0,35,32,0,1,1,0,0,36,14,10,0
94,276,69,0,0,1,0,0,38,15,26,0
256,346,72,0,1,1,0,0,39,16,19,0
31,160,63,0,1,1,0,0,42,17,18,0
331,455,50,1,1,1,0,0,45,18,16,0
1,55,36,0,0,1,0,0,46,19,20,0
460,595,41,0,1,1,0,0,49,20,39,0
592,672,37,0,1,1,0,0,50,21,9,0
0,62,93,1,1,1,1,0,6,22,3,0
0,114,41,1,1,1,1,1,6,23,3,0
0,178,52,1,1,1,1,2,6,24,3,1
147,243,75,0,1,1,1,0,8,25,40,0
147,280,38,0,1,1,1,1,8,26,40,0
147,356,37,0,1,1,1,2,8,27,40,0
259,344,98,0,0,1,1,0,9,28,38,0
259,372,70,0,0,1,1,1,9,29,38,0
259,470,47,0,0,1,1,2,9,30,38,0
375,494,85,1,1,1,1,0,10,31,22,0
375,537,42,1,1,1,1,1,10,32,22,1
375,611,43,1,1,1,1,2,10,33,22,0
27,175,78,1,1,1,1,0,12,34,28,0
27,214,39,1,1,1,1,1,12,35,28,0
27,214,39,1,1,1,1,2,12,36,28,0
206,322,87,0,1,1,1,0,14,37,8,0
206,370,39,0,1,1,1,1,14,38,8,0
206,361,48,1,1,1,1,2,14,39,8,1
384,479,91,0,0,1,1,0,15,40,27,0
384,518,52,1,1,1,1,1,15,41,27,1
384,531,39,0,0,1,1,2,15,42,27,0
0,133,89,1,1,1,1,0,17,43,4,0
0,174,48,1,1,1,1,1,17,44,4,0
0,256,41,1,1,1,1,2,17,45,4,1
0,47,101,0,0,1,1,0,21,46,36,0
0,106,42,1,1,1,1,1,21,47,36,1
0,108,40,0,0,1,1,2,21,48,36,0
211,318,83,0,0,1,1,0,24,49,30,0
211,360,41,0,0,1,1,1,24,50,30,0
211,434,42,1,1,1,1,2,24,51,30,1
321,416,102,0,0,1,1,0,25,52,14,0
321,475,43,0,0,1,1,1,25,53,14,0
321,553,40,0,0,1,1,2,25,54,14,0
147,243,75,0,1,1,1,0,27,55,35,0
147,280,38,1,1,1,1,1,27,56,35,1
147,356,37,0,1,1,1,2,27,57,35,0
302,403,103,1,1,1,1,0,28,58,21,0
302,464,42,1,1,1,1,1,28,59,21,1
302,464,42,1,1,1,1,2,28,60,21,0
367,485,88,0,0,1,1,0,29,61,11,0
367,532,41,1,1,1,1,1,29,62,11,1
367,601,47,0,0,1,1,2,29,63,11,0
0,136,99,1,1,1,1,0,37,64,31,0
0,196,39,1,1,1,1,1,37,65,31,0
0,269,41,1,1,1,1,2,37,66,31,1
374,451,80,0,1,1,1,0,40,67,24,0
374,491,40,0,1,1,1,1,40,68,24,0
374,491,40,1,1,1,1,2,40,69,24,1
102,249,94,0,1,1,1,0,43,70,7,0
102,296,47,0,1,1,1,1,43,71,7,0
102,371,47,0,1,1,1,2,43,72,7,0
220,357,75,0,0,1,1,0,44,73,29,0
220,394,38,0,0,1,1,1,44,74,29,0
220,470,37,1,1,1,1,2,44,75,29,1
220,357,75,0,1,1,1,0,47,76,25,0
220,394,38,0,1,1,1,1,47,77,25,0
220,470,37,1,1,1,1,2,47,78,25,1
367,485,88,1,1,1,1,0,48,79,17,0
367,532,41,1,1,1,1,1,48,80,17,0
367,601,47,1,1,1,1,2,48,81,17,1
0,672,0,1,1,1,0,0,0,82,0,0
