lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,651,0,1,1,1,0,0,0,1,0,0
72,200,32,0,1,1,0,0,2,2,35,0
197,299,68,1,1,1,0,0,4,3,28,0
208,357,20,0,1,1,0,0,8,4,6,0
83,211,38,1,1,1,0,0,12,5,5,0
149,317,59,0,1,1,0,0,13,6,23,0
0,86,62,1,1,1,0,0,16,7,19,0
135,244,41,1,1,1,0,0,18,8,22,0
197,299,68,0,1,1,0,0,19,9,25,0
303,463,58,1,1,1,0,0,20,10,17,0
0,83,50,1,1,1,0,0,21,11,33,0
128,280,54,0,1,1,0,0,23,12,10,0
194,295,56,0,1,1,0,0,24,13,8,0
274,391,69,0,0,1,0,0,25,14,11,0
47,204,69,0,1,1,0,0,27,15,9,0
245,322,41,0,0,1,0,0,33,16,27,0
277,454,46,1,1,1,0,0,34,17,16,0
41,183,58,1,1,1,0,0,37,18,31,0
229,345,13,0,0,1,0,0,39,19,12,0
226,354,48,0,0,1,0,0,43,20,14,0
0,105,38,0,0,1,0,0,46,21,15,0
226,354,48,1,1,1,0,0,49,22,3,0
317,409,134,0,0,1,1,0,5,23,37,0
317,470,73,0,0,1,1,1,5,24,37,0
317,555,61,1,1,1,1,2,5,25,37,1
62,189,81,0,0,1,1,0,6,26,38,0
62,227,43,0,0,1,1,1,6,27,38,0
62,305,38,0,0,1,1,2,6,28,38,0
139,268,81,1,1,1,1,0,7,29,29,0
139,306,43,1,1,1,1,1,7,30,29,0
139,384,38,1,1,1,1,2,7,31,29,1
317,401,76,0,0,1,1,0,9,32,26,0
317,439,38,0,0,1,1,1,9,33,26,0
317,512,38,1,1,1,1,2,9,34,26,1
404,572,117,1,1,1,1,0,15,35,4,0
404,616,73,1,1,1,1,1,15,36,4,0
404,700,62,1,1,1,1,2,15,37,4,1
62,189,81,1,1,1,1,0,22,38,39,0
62,227,43,1,1,1,1,1,22,39,39,0
62,305,38,1,1,1,1,2,22,40,39,1
158,261,146,1,1,1,1,0,28,41,21,0
158,336,71,1,1,1,1,1,28,42,21,0
158,423,57,1,1,1,1,2,28,43,21,1
344,441,82,0,0,1,1,0,29,44,36,0
344,480,43,1,1,1,1,1,29,45,36,1
344,484,39,0,0,1,1,2,29,46,36,0
464,581,105,0,1,1,1,0,30,47,24,0
464,637,49,0,1,1,1,1,30,48,24,0
464,648,38,0,1,1,1,2,30,49,24,0
0,59,73,1,1,1,1,0,31,50,20,0
0,96,36,1,1,1,1,1,31,51,20,1
0,168,37,1,1,1,1,2,31,52,20,0
148,206,80,1,1,1,1,0,32,53,1,0
148,247,39,1,1,1,1,1,32,54,1,0
148,245,41,1,1,1,1,2,32,55,1,1
344,455,112,1,1,1,1,0,35,56,40,0
344,496,71,1,1,1,1,1,35,57,40,1
344,581,59,1,1,1,1,2,35,58,40,0
0,94,84,0,1,1,1,0,36,59,34,0
0,133,45,1,1,1,1,1,36,60,34,1
0,212,39,0,1,1,1,2,36,61,34,0
337,461,88,1,1,1,1,0,40,62,2,0
337,505,44,1,1,1,1,1,40,63,2,0
337,578,44,1,1,1,1,2,40,64,2,1
0,80,74,1,1,1,1,0,41,65,30,0
0,117,37,1,1,1,1,1,41,66,30,1
0,117,37,1,1,1,1,2,41,67,30,0
426,578,94,0,1,1,1,0,45,68,7,0
426,634,38,1,1,1,1,1,45,69,7,1
426,707,38,0,1,1,1,2,45,70,7,0
0,164,75,1,1,1,1,0,47,71,18,0
0,201,38,1,1,1,1,1,47,72,18,0
0,275,37,1,1,1,1,2,47,73,18,0
148,206,80,0,0,1,1,0,48,74,13,0
148,247,39,0,0,1,1,1,48,75,13,0
148,245,41,0,0,1,1,2,48,76,13,0
310,446,109,1,1,1,1,0,50,77,32,0
310,509,46,1,1,1,1,1,50,78,32,0
310,547,81,1,1,1,1,2,50,79,32,1
0,651,0,1,1,1,0,0,0,80,0,0
